plotid,chamber,treatment,origin,grazed_ungrazed,transect,transect_s_treatment,logger,link
19,106,w2,s,ug,B1,B1_w2_s_ug,nordsalt b1 usb,19
20,106,w2,d,ug,B1,B1_w2_d_ug,nordsalt b1 usb,20
21,106,w2,f,ug,B1,B1_w2_f_ug,nordsalt b1 usb,21
22,102,w0,f,ug,B1,B1_w0_f_ug,nordsalt b1 usb,22
23,102,w0,s,ug,B1,B1_w0_s_ug,nordsalt b1 usb,23
24,102,w0,d,ug,B1,B1_w0_d_ug,nordsalt b1 usb,24
25,108,w3,s,ug,B1,B1_w3_s_ug,nordsalt b1 usb,25
26,108,w3,d,ug,B1,B1_w3_d_ug,nordsalt b1 usb,26
27,108,w3,f,ug,B1,B1_w3_f_ug,nordsalt b1 usb,27
28,110,w4,d,ug,B1,B1_w4_d_ug,nordsalt b1 usb,28
29,110,w4,f,ug,B1,B1_w4_f_ug,nordsalt b1 usb,29
30,110,w4,s,ug,B1,B1_w4_s_ug,nordsalt b1 usb,30
101,101,w0,,g,B1,B1_w0_g,nordsalt b1 usb,101
102,102,w0,,ug,B1,B1_w0_ug,nordsalt b1 usb,102
103,103,w1,,g,B1,B1_w1_g,nordsalt b1 usb,103
104,104,w1,,ug,B1,B1_w1_ug,nordsalt b1 usb,104
